timestamp,displacement_combined,tilt_dynamic_avg,tilt_stable,displacement_rate,tilt_dynamic_rate,tilt_stable_rate,tilt_dynamic_std,displacement_sync_error,hour,day_of_week,month,is_weekend,is_anomaly,anomaly_score
2023-09-06 04:20:00,14.55,-0.7166666666666665,0.54,-0.03999999999999915,0.0,0.01000000000000001,1.682181123819113,0.2568055555555571,4,2,9,0,True,-0.6647247582396498
2023-09-06 04:30:00,14.59,-0.7166666666666665,0.54,0.03999999999999915,0.0,0.0,1.682181123819113,0.2107638888888914,4,2,9,0,True,-0.6602829973800093
2023-09-06 04:40:00,14.58,-0.7166666666666665,0.54,-0.00999999999999801,0.0,0.0,1.682181123819113,0.2147916666666667,4,2,9,0,True,-0.6598364100343868
2023-09-06 04:50:00,14.62,-0.7200000000000001,0.54,0.03999999999999915,-0.003333333333333632,0.0,1.680208320417441,0.1684722222222241,4,2,9,0,True,-0.661759349096186
2023-09-06 05:00:00,14.76,-0.7166666666666665,0.54,0.1400000000000006,0.003333333333333632,0.0,1.682181123819113,0.02180555555555763,5,2,9,0,True,-0.669574441207328
2023-09-06 05:10:00,14.65,-0.7200000000000001,0.54,-0.1099999999999994,-0.003333333333333632,0.0,1.680208320417441,0.1254166666666663,5,2,9,0,True,-0.660402919548743
2023-09-06 05:20:00,14.81,-0.7200000000000001,0.53,0.1600000000000037,0.0,-0.01000000000000001,1.680208320417441,0.04131944444444713,5,2,9,0,True,-0.6622523207300606
2023-09-06 05:30:00,14.8,-0.7200000000000001,0.53,-0.01000000000000512,0.0,0.0,1.680208320417441,0.03805555555555351,5,2,9,0,True,-0.6588111875662973
2023-09-06 05:40:00,14.81,-0.7200000000000001,0.55,0.00999999999999801,0.0,0.02000000000000002,1.680208320417441,0.05430555555555294,5,2,9,0,True,-0.6862324388003838
2023-09-06 05:50:00,14.81,-0.7200000000000001,0.54,0.0,0.0,-0.01000000000000001,1.680208320417441,0.06083333333332774,5,2,9,0,True,-0.6641104917821404
2023-09-06 06:00:00,15.11,-0.7166666666666665,0.55,0.3000000000000043,0.003333333333333632,0.01000000000000001,1.682181123819113,0.3670833333333334,6,2,9,0,True,-0.6844699906467874
2023-09-06 06:10:00,15.14,-0.7200000000000001,0.54,0.03000000000000114,-0.003333333333333632,-0.01000000000000001,1.680208320417441,0.4031249999999993,6,2,9,0,True,-0.6658264223172602
2023-09-06 06:20:00,15.12,-0.7200000000000001,0.54,-0.01999999999999602,0.0,0.0,1.680208320417441,0.3900000000000059,6,2,9,0,True,-0.6656334571954415
2023-09-06 06:30:00,15.1,-0.7200000000000001,0.54,-0.02000000000000313,0.0,0.0,1.680208320417441,0.3772916666666699,6,2,9,0,True,-0.6656334571954415
2023-09-06 06:40:00,15.08,-0.7200000000000001,0.54,-0.02000000000000313,0.0,0.0,1.680208320417441,0.3640277777777765,6,2,9,0,True,-0.66182076869132
2023-09-06 06:50:00,15.11,-0.7200000000000001,0.54,0.03000000000000114,0.0,0.0,1.680208320417441,0.4013194444444466,6,2,9,0,True,-0.6666283178030017
2023-09-06 07:00:00,15.09,-0.7166666666666665,0.53,-0.02000000000000313,0.003333333333333632,-0.01000000000000001,1.682181123819113,0.3875694444444395,7,2,9,0,True,-0.6661508615172851
2023-09-06 07:10:00,15.08,-0.7166666666666665,0.55,-0.00999999999999801,0.0,0.02000000000000002,1.682181123819113,0.3842361111111092,7,2,9,0,True,-0.6870278422964614
2023-09-06 07:20:00,15.03,-0.7200000000000001,0.55,-0.04999999999999716,-0.003333333333333632,0.0,1.680208320417441,0.3409722222222253,7,2,9,0,True,-0.6648607031032978
2023-09-06 07:30:00,15.13,-0.7200000000000001,0.54,0.1000000000000014,0.0,-0.01000000000000001,1.680208320417441,0.4475694444444471,7,2,9,0,True,-0.6685483154268047
2023-09-06 07:40:00,15.17,-0.7166666666666665,0.55,0.03999999999999915,0.003333333333333632,0.01000000000000001,1.682181123819113,0.4938888888888933,7,2,9,0,True,-0.6763859850187873
2023-09-06 07:50:00,15.16,-0.7200000000000001,0.54,-0.00999999999999801,-0.003333333333333632,-0.01000000000000001,1.680208320417441,0.4898611111111144,7,2,9,0,True,-0.6645047994917544
2023-09-06 08:00:00,15.2,-0.7166666666666665,0.55,0.03999999999999915,0.003333333333333632,0.01000000000000001,1.682181123819113,0.5362500000000026,8,2,9,0,True,-0.6781730357821665
2023-09-06 08:10:00,15.2,-0.7200000000000001,0.54,0.0,-0.003333333333333632,-0.01000000000000001,1.680208320417441,0.5423611111111146,8,2,9,0,True,-0.6663539549263132
2023-09-06 08:20:00,15.18,-0.7166666666666665,0.54,-0.02000000000000313,0.003333333333333632,0.0,1.682181123819113,0.5282638888888886,8,2,9,0,True,-0.6710349597066917
2023-09-06 08:30:00,15.18,-0.7200000000000001,0.54,0.0,-0.003333333333333632,0.0,1.680208320417441,0.5340972222222238,8,2,9,0,True,-0.6677307153853973
2023-09-06 08:40:00,15.23,-0.7166666666666665,0.55,0.04999999999999716,0.003333333333333632,0.01000000000000001,1.682181123819113,0.5897916666666667,8,2,9,0,True,-0.6777143483752144
2023-09-06 08:50:00,15.27,-0.7166666666666665,0.53,0.03999999999999915,0.0,-0.02000000000000002,1.682181123819113,0.6353472222222187,8,2,9,0,True,-0.682527250191837
2023-09-06 09:00:00,15.29,-0.7166666666666665,0.55,0.02000000000000313,0.0,0.02000000000000002,1.682181123819113,0.6607638888888872,9,2,9,0,True,-0.6940003871799367
